MarketDate,Name,MarketPrice
16/12/2015,Safaricom Ltd Ord 0.05,16.7
17/12/2015,Safaricom Ltd Ord 0.05,16.6
18/12/2015,Safaricom Ltd Ord 0.05,16.7
21/12/2015,Safaricom Ltd Ord 0.05,16.7
22/12/2015,Safaricom Ltd Ord 0.05,16.7
23/12/2015,Safaricom Ltd Ord 0.05,16.1
24/12/2015,Safaricom Ltd Ord 0.05,15.9
28/12/2015,Safaricom Ltd Ord 0.05,15.9
29/12/2015,Safaricom Ltd Ord 0.05,16.1
30/12/2015,Safaricom Ltd Ord 0.05,16.25
31/12/2015,Safaricom Ltd Ord 0.05,16.1
04/01/2016,Safaricom Ltd Ord 0.05,16.35
05/01/2016,Safaricom Ltd Ord 0.05,16.35
06/01/2016,Safaricom Ltd Ord 0.05,16.6
07/01/2016,Safaricom Ltd Ord 0.05,16.5
08/01/2016,Safaricom Ltd Ord 0.05,16.4
11/01/2016,Safaricom Ltd Ord 0.05,16.25
12/01/2016,Safaricom Ltd Ord 0.05,16
13/01/2016,Safaricom Ltd Ord 0.05,16.1
14/01/2016,Safaricom Ltd Ord 0.05,16.05
15/01/2016,Safaricom Ltd Ord 0.05,16.1
18/01/2016,Safaricom Ltd Ord 0.05,16.1
19/01/2016,Safaricom Ltd Ord 0.05,16.1
20/01/2016,Safaricom Ltd Ord 0.05,15.75
21/01/2016,Safaricom Ltd Ord 0.05,15.25
22/01/2016,Safaricom Ltd Ord 0.05,15.1
25/01/2016,Safaricom Ltd Ord 0.05,15.25
26/01/2016,Safaricom Ltd Ord 0.05,15.25
27/01/2016,Safaricom Ltd Ord 0.05,15.15
28/01/2016,Safaricom Ltd Ord 0.05,15.15
29/01/2016,Safaricom Ltd Ord 0.05,15.15
01/02/2016,Safaricom Ltd Ord 0.05,15.55
02/02/2016,Safaricom Ltd Ord 0.05,16
03/02/2016,Safaricom Ltd Ord 0.05,16.7
04/02/2016,Safaricom Ltd Ord 0.05,16.25
05/02/2016,Safaricom Ltd Ord 0.05,16.2
08/02/2016,Safaricom Ltd Ord 0.05,16.15
09/02/2016,Safaricom Ltd Ord 0.05,16
10/02/2016,Safaricom Ltd Ord 0.05,15.75
11/02/2016,Safaricom Ltd Ord 0.05,15.65
12/02/2016,Safaricom Ltd Ord 0.05,15.8
15/02/2016,Safaricom Ltd Ord 0.05,15.75
16/02/2016,Safaricom Ltd Ord 0.05,15.7
17/02/2016,Safaricom Ltd Ord 0.05,15.55
18/02/2016,Safaricom Ltd Ord 0.05,15.6
19/02/2016,Safaricom Ltd Ord 0.05,15.85
22/02/2016,Safaricom Ltd Ord 0.05,15.7
23/02/2016,Safaricom Ltd Ord 0.05,15.95
24/02/2016,Safaricom Ltd Ord 0.05,16
25/02/2016,Safaricom Ltd Ord 0.05,16.05
26/02/2016,Safaricom Ltd Ord 0.05,16.1
29/02/2016,Safaricom Ltd Ord 0.05,16.2
01/03/2016,Safaricom Ltd Ord 0.05,16.15
02/03/2016,Safaricom Ltd Ord 0.05,16.55
03/03/2016,Safaricom Ltd Ord 0.05,16.9
04/03/2016,Safaricom Ltd Ord 0.05,17
07/03/2016,Safaricom Ltd Ord 0.05,17
08/03/2016,Safaricom Ltd Ord 0.05,16.5
09/03/2016,Safaricom Ltd Ord 0.05,16.45
10/03/2016,Safaricom Ltd Ord 0.05,16.25
11/03/2016,Safaricom Ltd Ord 0.05,16.3
14/03/2016,Safaricom Ltd Ord 0.05,16.45
15/03/2016,Safaricom Ltd Ord 0.05,16.35
16/03/2016,Safaricom Ltd Ord 0.05,16.4
17/03/2016,Safaricom Ltd Ord 0.05,16.5
18/03/2016,Safaricom Ltd Ord 0.05,16.5
21/03/2016,Safaricom Ltd Ord 0.05,16.45
22/03/2016,Safaricom Ltd Ord 0.05,16.75
23/03/2016,Safaricom Ltd Ord 0.05,16.85
24/03/2016,Safaricom Ltd Ord 0.05,16.9
29/03/2016,Safaricom Ltd Ord 0.05,16.8
30/03/2016,Safaricom Ltd Ord 0.05,16.7
31/03/2016,Safaricom Ltd Ord 0.05,16.9
04/04/2016,Safaricom Ltd Ord 0.05,16.8
05/04/2016,Safaricom Ltd Ord 0.05,16.8
06/04/2016,Safaricom Ltd Ord 0.05,16.75
07/04/2016,Safaricom Ltd Ord 0.05,16.75
08/04/2016,Safaricom Ltd Ord 0.05,16.75
11/04/2016,Safaricom Ltd Ord 0.05,16.7
12/04/2016,Safaricom Ltd Ord 0.05,16.7
13/04/2016,Safaricom Ltd Ord 0.05,16.75
14/04/2016,Safaricom Ltd Ord 0.05,16.95
15/04/2016,Safaricom Ltd Ord 0.05,17.1
18/04/2016,Safaricom Ltd Ord 0.05,17.2
19/04/2016,Safaricom Ltd Ord 0.05,17.3
20/04/2016,Safaricom Ltd Ord 0.05,17.45
21/04/2016,Safaricom Ltd Ord 0.05,17.4
25/04/2016,Safaricom Ltd Ord 0.05,16.95
26/04/2016,Safaricom Ltd Ord 0.05,16.95
27/04/2016,Safaricom Ltd Ord 0.05,16.95
28/04/2016,Safaricom Ltd Ord 0.05,17.1
29/04/2016,Safaricom Ltd Ord 0.05,17.1
03/05/2016,Safaricom Ltd Ord 0.05,16.95
04/05/2016,Safaricom Ltd Ord 0.05,16.9
05/05/2016,Safaricom Ltd Ord 0.05,16.9
06/05/2016,Safaricom Ltd Ord 0.05,16.9
09/05/2016,Safaricom Ltd Ord 0.05,16.9
10/05/2016,Safaricom Ltd Ord 0.05,16.95
11/05/2016,Safaricom Ltd Ord 0.05,17.1
12/05/2016,Safaricom Ltd Ord 0.05,17.25
13/05/2016,Safaricom Ltd Ord 0.05,17.3
16/05/2016,Safaricom Ltd Ord 0.05,17.35
17/05/2016,Safaricom Ltd Ord 0.05,17.15
18/05/2016,Safaricom Ltd Ord 0.05,17.15
19/05/2016,Safaricom Ltd Ord 0.05,17.3
20/05/2016,Safaricom Ltd Ord 0.05,17.35
23/05/2016,Safaricom Ltd Ord 0.05,17.2
24/05/2016,Safaricom Ltd Ord 0.05,17.35
25/05/2016,Safaricom Ltd Ord 0.05,17.25
26/05/2016,Safaricom Ltd Ord 0.05,17.25
27/05/2016,Safaricom Ltd Ord 0.05,17.1
30/05/2016,Safaricom Ltd Ord 0.05,17.05
31/05/2016,Safaricom Ltd Ord 0.05,17
02/06/2016,Safaricom Ltd Ord 0.05,17
03/06/2016,Safaricom Ltd Ord 0.05,16.95
06/06/2016,Safaricom Ltd Ord 0.05,17.15
07/06/2016,Safaricom Ltd Ord 0.05,17.5
08/06/2016,Safaricom Ltd Ord 0.05,17.9
09/06/2016,Safaricom Ltd Ord 0.05,18.25
10/06/2016,Safaricom Ltd Ord 0.05,18.25
13/06/2016,Safaricom Ltd Ord 0.05,18.15
14/06/2016,Safaricom Ltd Ord 0.05,18.1
15/06/2016,Safaricom Ltd Ord 0.05,18.3
16/06/2016,Safaricom Ltd Ord 0.05,18.6
17/06/2016,Safaricom Ltd Ord 0.05,18.7
20/06/2016,Safaricom Ltd Ord 0.05,18.7
21/06/2016,Safaricom Ltd Ord 0.05,18.4
22/06/2016,Safaricom Ltd Ord 0.05,18.05
23/06/2016,Safaricom Ltd Ord 0.05,17.9
24/06/2016,Safaricom Ltd Ord 0.05,17.45
27/06/2016,Safaricom Ltd Ord 0.05,17.3
28/06/2016,Safaricom Ltd Ord 0.05,17.15
29/06/2016,Safaricom Ltd Ord 0.05,17.1
30/06/2016,Safaricom Ltd Ord 0.05,17.75
01/07/2016,Safaricom Ltd Ord 0.05,17.55
04/07/2016,Safaricom Ltd Ord 0.05,17.45
